Content,output_dir,file name,input_file,language,count,random_sequences,include_letters,include_numbers,include_symbols,length,random,format,thread_count,extension,skew_angle,random_skew,use_wikipedia,blur,random_blur,background,handwritten,name_format,distorsion,distorsion_orientation,width,alignment,orientation,text_color,space_width,margins,fit,font,case,Omnipage-OCR eng. result,Raw Score
trade carpet cho hr buyer fl dover deviant volt lie kidney fr others.,out_random/,concat_random_83.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,69,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,trade carpet cho hr buyer fl dover deviant volt lie kidney fr other'.,0.985507246376812
faq yo gun ask?,out_random/,concat_random_84.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,15,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,faq yo gun,0.8
s mw yes ss dollars d stand tft von uncle ian it.,out_random/,concat_random_85.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,49,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,s mw yes ss dollars d stand tft von uncle ian,0.957446808510638
c prove iron vid mars club gay tent jacket anymore.,out_random/,concat_random_86.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,51,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,c prove iron vid mars club gay tent jacket anymore,0.99009900990099
z lo g across impacts but risks ink shine mint ace volume en fixed.,out_random/,concat_random_87.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,67,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,z lo g across impacts but risks ink shine mint ace volume en ?,0.945736434108527
judgment k asin consensus v exact nasa ice expensive.,out_random/,concat_random_88.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,53,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,judgment k asin consensus v exact nasa ice expenvve,0.961538461538462
did wake cal mlb stay?,out_random/,concat_random_89.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,22,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,did wake cal mlb stay,0.976744186046512
tapes lm sold ep preview psp reid icq him.,out_random/,concat_random_90.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,42,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,tapes Im sold ep preview psp reid icq,0.911392405063291
downloads uc d notebooks thing.,out_random/,concat_random_91.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,31,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,downloads uc d notebooks thing,0.983606557377049
severe trim spank coast ef felt forever.,out_random/,concat_random_92.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,40,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,severe trim spank coast ef felt,0.873239436619718
l right disc wr tops em refine upon guards race gr ease nba e pts extreme.,out_random/,concat_random_93.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,74,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,I right disc wr tops em refine upon guards race gr ease nba e pts,0.920863309352518
f usage f hero k ruling funky that.,out_random/,concat_random_94.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,35,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,f usage f hero k ruling funky,0.90625
sans ea intriguing.,out_random/,concat_random_95.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,19,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,sans ea intriguing,0.972972972972973
par seo crisis jon manufacturing wars slim zone looks?,out_random/,concat_random_96.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,54,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,par sea crisis jon manufacturing wars slim zone,0.910891089108911
d nd rap mark an finding gt paxil forums.,out_random/,concat_random_97.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,41,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,d nd rap mark an finding gt paxil ',0.894736842105263
nz killer api ef qld weed wax solar pl seo pumps nsw a hughes remix know.,out_random/,concat_random_98.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,73,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,nz killer api ef old weed wax solar pl seo pumps nsw a hughes remix ?,0.943661971830986
d parish site white na mono from.,out_random/,concat_random_99.jpg,texts/eng_sentences.txt,en,100,False,False,False,False,33,False,32,1,jpg,0,False,False,1.25,False,1,False,2,0,0,-1,1,0,#282828,1.0,"(5, 5, 5, 0)",False,fonts/latin/OpenSans-Regular.ttf,,d parish site white na mono from,0.984615384615385
